q#;Question;Question Short
q0;I would recommend this website to my friend.;Likelihood to Recommend
q1;It is easy to read the text on this website with the used font type and size.;Font type and size - easy to read
q2;The font color is appealing on this website.;Font color is appealing
q3;The text alignment and spacing on this website make the text easy to read.;Text alignment and spacing - easy to read
q4;The color scheme of this website is appealing.;Color scheme is appealing
q5;The use of color or graphics enhances navigation.;Color or graphics enhances navigation
q6;The information content helps in buying decisions by comparing the information about products or services.;Content helps in buying decisions
q7;The information content provided by this website meets my needs.;Content meets my needs
q8;Contents and information support for reading and learning about buying process.;Contents and information support about buying process
q9;This website provides adequate feedback to assess my progression when I perform a task.;Adequate feedback to assess progression of tasks
q10;This website offers customization.;Customization
q11;This website offers versatility of ordering process.;Versatility of ordering process
q12;This website provides content tailored to the individual.;Content tailored to the individual
q13;In this website everything is consistent.;Consistency
q14;Navigation aids serve as a logical road map for buying.;Navigation aids serve as road map for buying
q15;Obviousness of buying button and links in this website.;Obviousness of buying button and links
q16;It is easy to personalize or to narrow buying process.;Easy to personalize or narrow buying process
q17;It is easy to learn to use the website.;Easy to learn to use website
q18;This website supports reversibility of action.;Reversibility of action
q19;Overall I am satisfied with the interface of this website.;Satisfaction with interface
q20;My current experience with this website is satisfactory.;Experience is satisfactory
q21;Overall. I am satisfied with the amount of time it took to complete the tasks for buying products.;Satisfaction with time taken to buy products
q22;Overall. I am satisfied with accuracy for this website related to the buying process.;Satisfaction with accuracy in buying process
q23;I trust the information presented on this website.;Trust the information
q24;This website is credible for me.;Website is credible
q25;I would visit this website again.;Would visit again
